"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Oct 20 07:20:26 MSK 2020","Tue Oct 20 07:20:49 MSK 2020","22801","","Активация карты - интеграционные тесты","","Активация карты - интеграционные тесты","Активация карты должна проходить успешно","Активация карты должна проходить успешно",""
"passed","Tue Oct 20 06:15:26 MSK 2020","Tue Oct 20 06:17:07 MSK 2020","100341","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру карты (со счета)","Проверить в ленте операций отображение операции перевода Клиенту ОТП-банка по номеру карты (со счета)",""
"passed","Tue Oct 20 07:14:34 MSK 2020","Tue Oct 20 07:15:26 MSK 2020","51927","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","В другой банк","В другой банк",""
"passed","Tue Oct 20 06:42:05 MSK 2020","Tue Oct 20 06:43:39 MSK 2020","94839","","Переводы в другой банк организациям - интеграционные тесты","","Переводы в другой банк организациям - интеграционные тесты","Проверить в ленте операций отображение операции перевода В другой банк - Организациям","Проверить в ленте операций отображение операции перевода В другой банк - Организациям",""
"passed","Tue Oct 20 07:17:38 MSK 2020","Tue Oct 20 07:17:46 MSK 2020","7945","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по логину/паролю - без логина","Ошибка при входе по логину/паролю - без логина",""
"passed","Tue Oct 20 06:10:31 MSK 2020","Tue Oct 20 06:10:54 MSK 2020","22921","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"failed","Tue Oct 20 07:23:30 MSK 2020","Tue Oct 20 07:23:59 MSK 2020","29565","","Security integration tests","","Security integration tests","Создание пароля через профиль у клиента с неверефицированным номером телефона","Создание пароля через профиль у клиента с неверефицированным номером телефона",""
"passed","Tue Oct 20 07:18:02 MSK 2020","Tue Oct 20 07:18:09 MSK 2020","7536","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по логину/паролю - неверный логин, но верный пароль","Ошибка при входе по логину/паролю - неверный логин, но верный пароль",""
"skipped","Tue Oct 20 07:18:09 MSK 2020","Tue Oct 20 07:18:09 MSK 2020","0","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по логину/паролю - блокировка при превышении попыток ввода неверного кода подтверждения","Ошибка при входе по логину/паролю - блокировка при превышении попыток ввода неверного кода подтверждения",""
"failed","Tue Oct 20 06:58:21 MSK 2020","Tue Oct 20 07:00:46 MSK 2020","145543","","PaymentForm - ЖКУ - integration tests","","PaymentForm - ЖКУ - integration tests","Выгрузка квитанции со страницы успешного оплаты ЖКУ (с карты)","Выгрузка квитанции со страницы успешного оплаты ЖКУ (с карты)",""
"skipped","Tue Oct 20 07:31:35 MSK 2020","Tue Oct 20 07:31:35 MSK 2020","0","","Проверка карточек продуктов-призраков по Вкладам","","Проверка карточек продуктов-призраков по Вкладам","Отказ от предложения с выбором причины ""Мне не интересно""","Отказ от предложения с выбором причины ""Мне не интересно""",""
"passed","Tue Oct 20 07:32:24 MSK 2020","Tue Oct 20 07:32:47 MSK 2020","22505","","Разблокировка карты - интеграционные тесты","","Разблокировка карты - интеграционные тесты","Разблокировка должна пройти успешно","Разблокировка должна пройти успешно",""
"passed","Tue Oct 20 06:08:39 MSK 2020","Tue Oct 20 06:09:31 MSK 2020","52250","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Успешный перевод с неверифицированным номером телефона","Успешный перевод с неверифицированным номером телефона",""
"passed","Tue Oct 20 06:23:56 MSK 2020","Tue Oct 20 06:25:43 MSK 2020","107144","","Переводы по номеру счета клиенту банка - интеграционные тесты","","Переводы по номеру счета клиенту банка - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)","Выгрузка квитанции на email со страницы успешного перевода Клиенту ОТП-банка по номеру счета (с CASH-кредита)",""
"passed","Tue Oct 20 07:29:37 MSK 2020","Tue Oct 20 07:30:07 MSK 2020","30635","","История операций - интеграционные тесты","","История операций - интеграционные тесты","Должны отображаться кнопки в нижней части развернутой транзакции в Истории операций","Должны отображаться кнопки в нижней части развернутой транзакции в Истории операций",""
"skipped","Tue Oct 20 07:25:06 MSK 2020","Tue Oct 20 07:25:06 MSK 2020","0","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","should go to DepositOpenForm when: there are hidden deposits and more button in aside","should go to DepositOpenForm when: there are hidden deposits and more button in aside",""
"skipped","Tue Oct 20 07:34:03 MSK 2020","Tue Oct 20 07:34:03 MSK 2020","0","","Блокировка карты перманентная - интеграционные тесты","","Блокировка карты перманентная - интеграционные тесты","Перманентная блокировка карты должна пройти успешно","Перманентная блокировка карты должна пройти успешно",""
"failed","Tue Oct 20 06:06:57 MSK 2020","Tue Oct 20 06:08:39 MSK 2020","101685","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Успешный перевод с верифицированным номером телефона","Успешный перевод с верифицированным номером телефона",""
"passed","Tue Oct 20 07:10:24 MSK 2020","Tue Oct 20 07:11:43 MSK 2020","79414","","Изменение настроек уведомлений - интеграционные тесты","","Изменение настроек уведомлений - интеграционные тесты","Включение уведомлений должно работать корректно","Включение уведомлений должно работать корректно",""
"passed","Tue Oct 20 06:11:46 MSK 2020","Tue Oct 20 06:13:26 MSK 2020","99898","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру карты (со счета)","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру карты (со счета)",""
"skipped","Tue Oct 20 07:31:35 MSK 2020","Tue Oct 20 07:31:35 MSK 2020","0","","ChangeEmailForm integration test","","ChangeEmailForm integration test","Установка email","Установка email",""
"failed","Tue Oct 20 07:18:25 MSK 2020","Tue Oct 20 07:18:25 MSK 2020","9","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по продукту - неверный продукт, но верный телефон","Ошибка при входе по продукту - неверный продукт, но верный телефон",""
"passed","Tue Oct 20 06:46:51 MSK 2020","Tue Oct 20 06:48:46 MSK 2020","115162","","Переводы в другой банк в бюджет - интеграционные тесты","","Переводы в другой банк в бюджет - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Бюджетным организациям","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Бюджетным организациям",""
"failed","Tue Oct 20 07:19:54 MSK 2020","Tue Oct 20 07:20:26 MSK 2020","31446","","Закрытие вклада - интеграционные тесты","","Закрытие вклада - интеграционные тесты","Закрытие вклада должно отрабатываться корректно","Закрытие вклада должно отрабатываться корректно",""
"failed","Tue Oct 20 06:28:39 MSK 2020","Tue Oct 20 06:30:02 MSK 2020","83536","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией","Выгрузка квитанции на email со страницы успешного перевода Между своими счетами (со счета на карту) с конверсией",""
"failed","Tue Oct 20 07:19:20 MSK 2020","Tue Oct 20 07:19:54 MSK 2020","34285","","Отображение вклада до востребования - интеграционные тесты","","Отображение вклада до востребования - интеграционные тесты","Вклад должен отображаться корректно","Вклад должен отображаться корректно",""
