"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 31 09:45:32 MSK 2020","Mon Aug 31 09:46:28 MSK 2020","55795","","Проведение переводов через продукт","","Проведение переводов через продукт","При переходе по кнопке ""Назад"" в форме перевода не должен сбрасывать выбранный продукт","При переходе по кнопке ""Назад"" в форме перевода не должен сбрасывать выбранный продукт",""
"unknown","Mon Aug 31 09:45:32 MSK 2020","Mon Aug 31 09:45:32 MSK 2020","1","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","По номеру карты","По номеру карты",""
"unknown","Mon Aug 31 09:45:32 MSK 2020","Mon Aug 31 09:45:32 MSK 2020","0","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","В другой банк","В другой банк",""
"unknown","Mon Aug 31 09:45:32 MSK 2020","Mon Aug 31 09:45:32 MSK 2020","0","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","","Проведение переводов через продукт Сохранение продукта при переходе по закладкам в переводе","Клиенту банка","Клиенту банка",""
