"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 06 18:29:11 MSK 2020","Thu Aug 06 18:29:44 MSK 2020","32827","","Security integration tests","","Security integration tests","Создание пароля через профиль у клиента с неверефицированным номером телефона","Создание пароля через профиль у клиента с неверефицированным номером телефона",""
"passed","Thu Aug 06 18:20:21 MSK 2020","Thu Aug 06 18:20:44 MSK 2020","22684","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов с выплатой процентов на вклад","Пользователю отображается список вкладов с выплатой процентов на вклад",""
"passed","Thu Aug 06 18:19:56 MSK 2020","Thu Aug 06 18:20:21 MSK 2020","25400","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов установлены все условия","Пользователю отображается список вкладов установлены все условия",""
"passed","Thu Aug 06 17:39:53 MSK 2020","Thu Aug 06 17:40:22 MSK 2020","28487","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Должна отображаться корректная ошибка при изменении номера карты","Должна отображаться корректная ошибка при изменении номера карты",""
"passed","Thu Aug 06 18:25:12 MSK 2020","Thu Aug 06 18:25:53 MSK 2020","41465","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","Открытие вклада в Максимальный в долларах","Открытие вклада в Максимальный в долларах",""
"passed","Thu Aug 06 18:13:50 MSK 2020","Thu Aug 06 18:14:46 MSK 2020","55467","","PaymentForm - ЖКУ - integration tests","","PaymentForm - ЖКУ - integration tests","Проверить в ленте операций отображение оплаты ЖКУ (с карты)","Проверить в ленте операций отображение оплаты ЖКУ (с карты)",""
"passed","Thu Aug 06 17:36:30 MSK 2020","Thu Aug 06 17:37:33 MSK 2020","63642","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Успешный перевод с верифицированным номером телефона","Успешный перевод с верифицированным номером телефона",""
"skipped","Thu Aug 06 18:30:15 MSK 2020","Thu Aug 06 18:30:15 MSK 2020","0","","LimitsForm integration tests","","LimitsForm integration tests","should render full progress bar after change limits(decreasing value)","should render full progress bar after change limits(decreasing value)",""
"passed","Thu Aug 06 18:10:03 MSK 2020","Thu Aug 06 18:10:53 MSK 2020","49625","","PaymentForm - Rapida - integration tests","","PaymentForm - Rapida - integration tests","Проверить в ленте операций отображение оплаты Мобильной связи Yota (со счета)","Проверить в ленте операций отображение оплаты Мобильной связи Yota (со счета)",""
"passed","Thu Aug 06 17:54:29 MSK 2020","Thu Aug 06 17:55:34 MSK 2020","64822","","Переводы в другой банк физическим лицам - интеграционные тесты","","Переводы в другой банк физическим лицам - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Людям","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Людям",""
"passed","Thu Aug 06 18:14:47 MSK 2020","Thu Aug 06 18:15:38 MSK 2020","51888","","История операций - интеграционные тесты","","История операций - интеграционные тесты","Должны отображаться кнопки в нижней части развернутой транзакции в Истории операций","Должны отображаться кнопки в нижней части развернутой транзакции в Истории операций",""
"passed","Thu Aug 06 18:21:33 MSK 2020","Thu Aug 06 18:22:01 MSK 2020","27928","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов на основе набора параметров 2","Пользователю отображается список вкладов на основе набора параметров 2",""
"passed","Thu Aug 06 18:04:40 MSK 2020","Thu Aug 06 18:05:45 MSK 2020","64873","","Переводы SWIFT - интеграционные тесты","","Переводы SWIFT - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода SWIFT (со счета)","Выгрузка квитанции со страницы успешного перевода SWIFT (со счета)",""
"failed","Thu Aug 06 17:56:51 MSK 2020","Thu Aug 06 17:57:42 MSK 2020","51612","","Переводы в другой банк организациям - интеграционные тесты","","Переводы в другой банк организациям - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода В другой банк - Организациям","Выгрузка квитанции со страницы успешного перевода В другой банк - Организациям",""
"passed","Thu Aug 06 17:39:35 MSK 2020","Thu Aug 06 17:39:53 MSK 2020","18311","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"failed","Thu Aug 06 17:44:09 MSK 2020","Thu Aug 06 17:45:21 MSK 2020","71981","","Переводы по номеру телефона клиенту банка - интеграционные тесты","","Переводы по номеру телефона клиенту банка - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру телефона (с карты)","Выгрузка квитанции со страницы успешного перевода Клиенту ОТП-банка по номеру телефона (с карты)",""
"passed","Thu Aug 06 18:25:54 MSK 2020","Thu Aug 06 18:26:35 MSK 2020","41578","","NotificationsForm integration tests","","NotificationsForm integration tests","texts should have correct values","texts should have correct values",""
"passed","Thu Aug 06 17:52:53 MSK 2020","Thu Aug 06 17:53:47 MSK 2020","54491","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Проверить в ленте операций отображение операции перевода Между своими счетами (со счета на карту) с конверсией","Проверить в ленте операций отображение операции перевода Между своими счетами (со счета на карту) с конверсией",""
"passed","Thu Aug 06 18:28:14 MSK 2020","Thu Aug 06 18:29:11 MSK 2020","57552","","Security integration tests","","Security integration tests","Изменение пароля через профиль у клиента с неверефицированным номером телефона","Изменение пароля через профиль у клиента с неверефицированным номером телефона",""
"passed","Thu Aug 06 17:57:42 MSK 2020","Thu Aug 06 17:58:55 MSK 2020","73036","","Переводы в другой банк организациям - интеграционные тесты","","Переводы в другой банк организациям - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Организациям","Выгрузка квитанции на email со страницы успешного перевода В другой банк - Организациям",""
"passed","Thu Aug 06 18:03:27 MSK 2020","Thu Aug 06 18:04:40 MSK 2020","73030","","Переводы в другой банк в бюджет - интеграционные тесты","","Переводы в другой банк в бюджет - интеграционные тесты","Проверить в ленте операций отображение операции перевода В другой банк - Бюджетным организациям","Проверить в ленте операций отображение операции перевода В другой банк - Бюджетным организациям",""
"passed","Thu Aug 06 18:26:35 MSK 2020","Thu Aug 06 18:28:13 MSK 2020","97289","","NotificationsForm integration tests","","NotificationsForm integration tests","Изменение типа нотификации должно проходить успешно","Изменение типа нотификации должно проходить успешно",""
"passed","Thu Aug 06 17:38:50 MSK 2020","Thu Aug 06 17:39:35 MSK 2020","44956","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Должна отобаржаться ошибка при превышении лимита и успешно проходить платеж без превышения","Должна отобаржаться ошибка при превышении лимита и успешно проходить платеж без превышения",""
"skipped","Thu Aug 06 18:30:59 MSK 2020","Thu Aug 06 18:30:59 MSK 2020","0","","ChangePhoneForm integration test","","ChangePhoneForm integration test","Смена номера телефона через email и повторная смена через телефон","Смена номера телефона через email и повторная смена через телефон",""
"passed","Thu Aug 06 18:23:13 MSK 2020","Thu Aug 06 18:23:44 MSK 2020","30989","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","Открытие накопительного счета в долларах с 0 долларов","Открытие накопительного счета в долларах с 0 долларов",""
"skipped","Thu Aug 06 18:24:05 MSK 2020","Thu Aug 06 18:24:05 MSK 2020","0","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","should go to DepositOpenForm when: there are hidden deposits and more button in aside","should go to DepositOpenForm when: there are hidden deposits and more button in aside",""
"passed","Thu Aug 06 18:05:45 MSK 2020","Thu Aug 06 18:07:02 MSK 2020","77113","","Переводы SWIFT - интеграционные тесты","","Переводы SWIFT - интеграционные тесты","Выгрузка квитанции на email со страницы успешного перевода SWIFT (со счета)","Выгрузка квитанции на email со страницы успешного перевода SWIFT (со счета)",""
